dia;pronostico;temperatura;humedad;viento;juega
1;soleado;calido;alta;debil;no
2;soleado;calido;alta;fuerte;no
3;nublado;calido;alta;debil;si
4;lluvioso;templado;alta;debil;si
5;lluvioso;frio;normal;debil;si
6;lluvioso;frio;normal;fuerte;no
7;lluvioso;frio;normal;fuerte;si
8;soleado;templado;alta;debil;no
9;soleado;frio;normal;debil;si
10;lluvioso;templado;normal;debil;si
11;soleado;templado;normal;fuerte;si
12;nublado;templado;alta;fuerte;si
13;nublado;calido;normal;debil;si
14;lluvioso;templado;alta;fuerte;no
